"comment_id","video_id","product_id","text","label","confidence","teacher_model","final_action","exclusion_reason","is_product_related","like_count","reply_count","classified_at","score_PRODUCT_OPINION","score_VIDEO_REACTION","score_CHATTER","score_QUESTION","score_OFF_TOPIC","reasoning"
"UgzGL2Zphjgt6KdEh-x4AaABAg","-vQSqGmiABo","1","너무 이른데..
아직 안익었응께 
김치냉장고에 넣어뒀다가 봐야겠다","OFF_TOPIC","0.9","gpt-4.1-mini","EXCLUDE","OFF_TOPIC","","15","0","2026-05-07T06:07:13.278214+00:00","","","","","",""
"UgxjjLGr2WkBaLYI73x4AaABAg","-vQSqGmiABo","1","주사율 120 추가해주니 사람들 개환호 ㅋㅋㅋ","PRODUCT_OPINION","0.95","gpt-4.1-mini","ANALYZE","","","692","0","2026-05-07T06:07:13.287376+00:00","","","","","",""
"UgxMVbjKr0DKh4tQapV4AaABAg","juEHr4th0jI","1","то чувство когда 4 дня  назад купил айфон 17)  первый в моей жизни)","CHATTER","0.9","gpt-4.1-mini","EXCLUDE","CHATTER","","379","0","2026-05-07T06:07:15.007701+00:00","","","","","",""
"UgyM9SkYrLXtKwKFdfx4AaABAg","juEHr4th0jI","1","Ждем ролик “18 причин дождаться IPhone 18”","VIDEO_REACTION","0.85","gpt-4.1-mini","EXCLUDE","VIDEO_REACTION","","191","0","2026-05-07T06:07:15.017004+00:00","","","","","",""
"Ugyqr6Ef7KYPMI526Kh4AaABAg","juEHr4th0jI","1","OnePlus 15 передает всем привет.","CHATTER","0.8","gpt-4.1-mini","EXCLUDE","CHATTER","","173","0","2026-05-07T06:07:15.024565+00:00","","","","","",""
"Ugz9YYgbzdHMzfRyHjJ4AaABAg","juEHr4th0jI","1","Перешел на него месяц назад с iPhone 11. Просто кайфую во всю","PRODUCT_OPINION","0.95","gpt-4.1-mini","ANALYZE","","","51","0","2026-05-07T06:07:15.034096+00:00","","","","","",""
"Ugx1GJWxVipWc3Ole_R4AaABAg","-vQSqGmiABo","1","말도 안돼 아직 25년이라고 두목님","CHATTER","0.85","gpt-4.1-mini","EXCLUDE","CHATTER","","89","0","2026-05-07T06:07:17.851230+00:00","","","","","",""
"Ugwcyx08QCSuQ9kb1_R4AaABAg","-vQSqGmiABo","1","*애플제품에 만개한 미소와 ""만족입니다.""라는 멘트... 오랜만이다..*","VIDEO_REACTION","0.9","gpt-4.1-mini","EXCLUDE","VIDEO_REACTION","","84","0","2026-05-07T06:07:17.863370+00:00","","","","","",""
"Ugyqp35vyYrmirwZcZx4AaABAg","-vQSqGmiABo","1","다음편은 대망의 아이폰 17 프로인가요?
아니면 초심찾아서 똥폰 들고오시려나","QUESTION","0.9","gpt-4.1-mini","AUXILIARY_STORE","","","41","0","2026-05-07T06:07:17.871020+00:00","","","","","",""
"Ugzk_Q_cRK7OfUA2O-Z4AaABAg","-vQSqGmiABo","1","리퀴드 글래스 진두지휘하신 분이 메타로 가셨더라고요. 리퀴드 글래스를 컨셉으로 해서 ui가 전체적으로 바뀌었는데 쓸 만하게는 해놓고 가시지 개인적으로는 버그가 상당해서 갈 길이 멀다고 느껴져서요. 항상 정식 버전만 쓰는데요. 정식 버전에서도 버그가 상당한 건 처음이네요. 진짜 18이 그립습니다.","PRODUCT_OPINION","0.95","gpt-4.1-mini","ANALYZE","","","35","0","2026-05-07T06:07:17.878805+00:00","","","","","",""
